Chapter,Question,Answer
23,What is the difference between slime molds and parasitic protists?,"Slime molds are multicellular organisms that undergo a process of cell differentiation, while parasitic protists are single-celled and do not undergo such differentiation."
23,What is the importance of sexual reproduction in protists?,Sexual reproduction allows for genetic variation and increased adaptability to changing environments.
23,What is the difference between an obligate saprobe and a facultative saprobe?,"An obligate saprobe relies entirely on decomposition for nutrients, while a facultative saprobe can also photosynthesize."
24,What is the difference between asexual and sexual reproduction in fungi?,"Asexual reproduction in fungi involves the production of spores from a single parent, while sexual reproduction involves the fusion of gametes (male and female reproductive cells) to produce zygotes."
24,What is the function of chloroplasts in plant cells?,"Chloroplasts are organelles found in plant cells that contain the pigment chlorophyll a and are responsible for photosynthesis, the process of converting light energy into chemical energy."
24,What is the difference between Basidiomycota and Ascomycota?,"Basidiomycota and Ascomycota are both classes of fungi, but Basidiomycota produce their spores in a fruiting body, while Ascomycota produce their spores in an ascus."
24,What is the role of mycelium in the life cycle of a fungus?,"Mycelium is the vegetative part of a fungus, consisting of a mass of branching, thread-like hyphae. It plays a crucial role in nutrient acquisition and reproduction."
24,What is the Red Queen Hypothesis?,"The Red Queen Hypothesis proposes that the evolutionary arms race between hosts and their parasites or pathogens drives the rapid evolution of both parties, resulting in a constantly changing relationship."
24,Why can superficial mycoses in humans lead to bacterial infections?,"Superficial mycoses in humans can lead to bacterial infections because the fungus can create openings in the skin, providing a portal for bacteria to enter the body."
24,How would treating an area of a forest with a broad-spectrum fungicide alter the carbon and nitrogen cycles in the area?,Treating an area of a forest with a broad-spectrum fungicide could disrupt the carbon and nitrogen cycles by killing off not only fungal symbionts but also other microorganisms that play important roles in these cycles.
25,What are the three classes of bryophytes?,"The three classes of bryophytes are liverworts, mosses, and hornworts."
25,What is the main advantage of producing megaphylls for plants?,The main advantage of producing megaphylls for plants is that they can photosynthesize more efficiently and support larger bodies.
25,What is the difference between extant and extinct?,"Extant organisms are currently living, while extinct organisms are no longer alive and are fossilized remains."
25,How did the development of a vascular system contribute to the increase in size of plants?,"The development of a vascular system allowed plants to transport water, nutrients, and sugars throughout their bodies, allowing them to grow larger and more complex."
25,"What are two adaptations that are present in mosses but not hornworts or liverworts, which reflect steps of evolution toward land plants?",Two adaptations that are present in mosses but not hornworts or liverworts are the ability to survive in dry conditions and the presence of sporophytes.
25,What is parallel evolution?,Parallel evolution is the process by which separate lineages evolve similar traits or characteristics independently of one another.
25,Describe at least two challenges that cactuses had to overcome that cattails did not. ,Two challenges that cactuses had to overcome that cattails did not are the need for drought tolerance and the requirement for a vascular system.
25,What is the dominant organism in fern?,The dominant organism in fern is the sporophyte.
26,What are the four modern-day phyla of gymnosperms?,"The four modern-day phyla of gymnosperms are conifers, cycads, ginkgoes, and magnoliids."
26,What is biodiversity and why is it important to an ecosystem?,"Biodiversity refers to the variety of species within a given ecosystem. It is important because ecosystems with greater biodiversity are more resilient to changes and better able to provide essential services such as clean water, air, and food."
26,What role did the adaptations of seed and pollen play in the development and expansion of seed plants?,"The adaptations of seed and pollen allowed for the efficient dispersal of seeds, ensured proper fertilization, and facilitated the spread of plant species."
26,What is double fertilization?,"Double fertilization refers to the simultaneous fertilization of two gametes (pollen tube and ovule) during sexual reproduction in plants, resulting in both male and female gamete contribution to the zygote."
26,What is the primary function of the stigma in angiosperms?,"The primary function of the stigma in angiosperms is to collect pollen grains, which then germinate and grow down through the style to reach the ovary."
26,What are sporophytes?,"Sporophytes are the spore-bearing plants that produce spores, such as ferns and horsetails."
26,What is the Cretaceous Period known for in plant evolution?,"The Cretaceous Period was marked by the increase in number and variety of angiosperms, which eventually became the dominant form of plant life in most terrestrial ecosystems."
26,What is the difference between monocots and dicots?,"Monocots have fibrous roots, leaves with parallel veins, and flowers that lack petals. Dicots have taproots, net-veined leaves, and flowers with petals."
26,What is the role of nectar and pollen in plant reproduction?,"Nectar and pollen play a crucial role in attracting pollinators such as bees, butterflies, and hummingbirds to facilitate the transfer of pollen between plants."
26,What is the purpose of double fertilization?,"Double fertilization ensures proper fertilization of the ovule by two male gametes, which increases the chance of successful fertilization and offspring production."
27,What is the animal ancestor?,The common animal ancestor is thought to have been a single-celled organism that lived in the ocean approximately 600 million years ago.
27,What is the Cambrian explosion?,The Cambrian Explosion was an event approximately 542–488 million years ago when most major animal phyla suddenly appeared in the fossil record.
27,What are the three germ layers?,"The three primary germ layers in animals are ectoderm, endoderm, and mesoderm."
27,What is coelom formation?,Coelom formation is the process by which a fluid-filled cavity called a coelom develops between the germ layers of an animal embryo.
27,What are morphological and molecular data?,"Morphological data refers to physical characteristics of organisms, while molecular data refers to their genetic makeup."
27,How many mass extinction events have occurred throughout the evolutionary history of animals?,There have been at least five massive extinction events throughout the evolutionary history of animals.
27,What is embryological development?,Embryological development is the process by which an animal embryo grows and differentiates into its adult form.
27,What are specialized tissues?,"Specialized tissues are cells that have become adapted to a specific function or task, such as muscle tissue for movement or nerve tissue for sensation and communication."
27,Why might molecular data lead scientists to group animals into erroneous evolutionary relationships?,Molecular data can be misleading because it does not always accurately reflect the true evolutionary relationships between organisms due to horizontal gene transfer and other factors.
28,What is the main function of mesohyl in echinoderms?,"Mesohyl is the fluid-filled space between the outer layer of epidermis and the inner layer of dermis, serving as a shock absorber and helping to maintain water balance."
28,What is the characteristic body plan of chordates?,"Chordates have a notochord, a flexible, rod-like structure that runs along the length of the body and provides support and stability."
28,What is the function of nematocysts in cnidarians?,Nematocysts are specialized stinging cells used for capturing prey and defending against predators.
28,How do echinoderms move about?,"Echinoderms have a pentaradial body plan, with five equal arms radiating from the central body, allowing for slow and deliberate movement."
28,What is the function of the circulatory fluid in echinoderms?,"The circulatory fluid in echinoderms is primarily water, which helps to regulate body temperature and maintain proper salt balance."
28,How do arthropods undergo development and growth?,"Arthropods undergo segmented development, with each segment giving rise to a new body part, and they continue to grow by molting throughout their lives."
28,What is the function of the spinal cord in chordates?,"The spinal cord is a cord-like structure that runs along the back of chordates, providing nerve fibers that connect the brain to the rest of the body."
28,How do porifera and cubozoans differ in terms of fertilization?,"Porifera have external fertilization, where sperm are released into the water column and fertilize eggs outside of the body, while cubozoans have internal fertilization, with sperm entering the female's body through her mouth and fertilizing eggs within."
28,What is the function of the coccyx in chordates?,"The coccyx is a vestigial tail that remains in some chordates as an evolutionary remnant, serving no function."
29,What are the characteristic features of the chordates?,"The characteristic features of chordates include a notochord, a dorsal hollow nerve cord, and gill slits."
29,What is the structural advantage of the notochord in the human embryo?,"The notochord provides a flexible, rod-like structure that allows for greater mobility and flexibility during development."
29,What can be inferred about the evolution of the cranium and vertebral column from examining hagfishes and lampreys?,"Examining hagfishes and lampreys suggests that gnathostomes replaced most agnathans, indicating a shift towards more complex skulls and vertebral columns."
29,Describe the differences between the larval and adult stages of frogs.,"The larval stage of frogs is characterized by gills, a tail fin, and a more aquatic lifestyle, while the adult stage is characterized by lungs, the loss of the tail fin, and a more terrestrial lifestyle."
29,Describe three skeletal adaptations that allow for flight in birds.,"Three skeletal adaptations that allow for flight in birds are the wishbone-shaped furcula, the keeled breastbone, and the highly specialized hand bones."
29,Describe three unique features of the mammalian skeletal system.,"Three unique features of the mammalian skeletal system are the diaphragm, the patella, and the hyoid bone."
29,Describe three characteristics of the mammalian brain that differ from other vertebrates.,"Three characteristics of the mammalian brain that differ from other vertebrates are the neocortex, the hippocampus, and the larger cerebral cortex."
29,What is metamorphosis?,"Metamorphosis is the biological process by which animals undergo a transformation from a juvenile to an adult stage, typically involving a change in body structure and physiology."
29,What is the structural advantage of the notochord in the human embryo?,"The notochord provides a flexible, rod-like structure that allows for greater mobility and flexibility during development."
30,What is the function of the cork cambium in woody plants?,"The cork cambium is responsible for producing new bark, phloem, and xylem tissues in woody plants."
30,How do guard cells regulate stomatal aperture?,"Guard cells regulate stomatal aperture by controlling the opening and closing of stomata based on changes in the surrounding environment, such as light and CO2 levels."
30,What is the difference between xylem and phloem?,"Xylem transports water and minerals from the roots to the rest of the plant, while phloem transports sugars and other organic compounds produced by photosynthesis from the leaves to the rest of the plant."
30,What is gravitropism?,"Gravitropism is the growth response of plants towards gravity, where roots grow downwards and shoots grow upwards."
30,What is the role of abscisic acid in plant growth and development?,"Abscisic acid is a plant hormone that regulates seed germination, stomatal movement, and plant water relations, among other processes."
30,How do plants respond to touch or vibration?,"Plants respond to touch or vibration through thigmonasty, where the plant bends or grows in response to mechanical stimulation."
30,What is the difference between monocots and dicots in terms of leaf arrangement?,"Monocots have parallel-veined leaves with no petiole attachment, while dicots have net-veined leaves with a petiole attachment."
30,How do plants adapt to low light conditions?,"Plants adapt to low light conditions through the production of larger leaves, the development of longer internodes, and increased root growth to access water and nutrients."
31,What are the essential nutrients for plants?,"The essential nutrients for plants include nitrogen, phosphorus, potassium, magnesium, calcium, and sulfur."
31,What is mycorrhizae?,Mycorrhizae are symbiotic associations between plant roots and fungi that help the plant absorb water and nutrients from the soil.
31,What is biological nitrogen fixation?,Biological nitrogen fixation is the process by which certain bacteria convert atmospheric nitrogen into a form that can be used by plants.
31,What are macronutrients?,"Macronutrients are nutrients that plants require in large amounts, including nitrogen, phosphorus, potassium, and calcium."
31,What are micronutrients?,"Micronutrients are nutrients that plants require in small amounts, including boron, copper, iron, manganese, molybdenum, and zinc."
31,What is the main water source for land plants?,The main water source for land plants is soil water.
31,What factors affect soil quality?,"Soil quality can be affected by a variety of factors, including chemical composition, history of the soil, presence of living organisms, topography, and human activity."
31,What is the difference between a mineral soil and an organic soil?,"A mineral soil consists primarily of inorganic materials, while an organic soil contains significant amounts of plant residues and other organic matter."
31,Why is biological nitrogen fixation an environmentally friendly way of fertilizing plants?,"Biological nitrogen fixation is environmentally friendly because it does not require the use of synthetic fertilizers, which can contribute to pollution and climate change."
31,"What is the main difference, from an energy point of view, between photosynthesis and biological nitrogen fixation?","The main difference is that photosynthesis produces organic compounds using light energy, while biological nitrogen fixation requires the input of bacterial metabolic energy."
32,What is the difference between a complete flower and an incomplete flower?,"A complete flower has all four main parts, or whorls, while an incomplete flower lacks one or more of these parts."
32,What is the purpose of double fertilization in plants?,"Double fertilization is a process in which two sperm cells fertilize the egg cell, resulting in diploid zygote that can grow into a healthy seed."
32,What are the four main parts of a flower?,"The four main parts of a flower are the calyx, corolla, androium, and gynoecium."
32,What is the difference between monoecious and dioecious plants?,"Monoecious plants have both male and female reproductive organs in the same flower, while dioecious plants have separate male and female flowers."
32,What is the purpose of endosperm in plant reproduction?,Endosperm is a nutrient-rich tissue that provides nourishment for the developing embryo during seed germination.
32,What are some ways in which fruit seeds are dispersed?,"Fruit seeds can be dispersed by wind, water, animals, or human activity through processes such as endozoochory, epizoochory, and anthropogenic distribution."
32,What is the advantage of asexual reproduction in plants?,"Asexual reproduction allows plants to reproduce without the risks associated with outcrossing, such as inbreeding depression and reduced fitness."
32,What are some examples of plants that undergo a period of dormancy?,"Some examples of plants that undergo a period of dormancy include bulbs, tubers, corms, and rhizomes."
32,What is the difference between a monocarpic and a polycarpic plant?,"A monocarpic plant produces only one flower and fruit per year, while a polycarpic plant produces multiple flowers and fruits throughout the year."
33,What is the difference between endotherms and ectotherms?,"Endotherms are animals that maintain a constant body temperature, whereas ectotherms are animals that regulate their body temperature based on environmental conditions."
33,What is the role of sweating in thermoregulation?,"Sweating allows endotherms to release heat by evaporative cooling, which helps maintain a constant body temperature."
33,How do ectotherms regulate their body temperature?,"Ectotherms regulate their body temperature by behavioral adaptations such as seeking shade or moving to cooler areas, and physiological adaptations such as changing blood vessel dilation to conserve water."
33,What is the purpose of a fever during an infection?,A fever is an elevated body temperature that helps to fight off invading pathogens by creating a hostile environment for their survival and growth.
33,How do animals acclimate to changes in their environment?,"Acclimatization allows animals to compensate for changes in their environment by adjusting physiological processes, such as heart rate and metabolic rate, to maintain a stable body temperature."
33,What is the difference between loose connective tissue and dense connective tissue?,"Loose connective tissue has more space between cells, allowing for more mobility and flexibility, while dense connective tissue provides support and stability."
33,How do smooth muscles differ from skeletal muscles?,"Smooth muscles are involuntary and found in the walls of hollow organs, such as blood vessels and the digestive tract, while skeletal muscles are voluntary and attached to bones."
33,What is the role of the urinary bladder in thermoregulation?,The urinary bladder helps to regulate body temperature by storing heat during the day and releasing it at night.
33,How do animals maintain homeostasis?,Animals maintain homeostasis through negative feedback loops that help to maintain a stable internal environment despite changes in the external environment.
33,What is the difference between a open circulatory system and a closed circulatory system?,"An open circulatory system allows for the exchange of gases and waste products between the blood and the environment, while a closed circulatory system maintains a separate space for the exchange of gases and waste products."
34,What is the purpose of the gallbladder?,"The primary function of the gallbladder is to store and concentrate bile, a digestive fluid produced by the liver."
34,What is the role of the accessory organs in digestion?,"The accessory organs (lingual tonsils, submandibular glands, and Peyer's patches) produce digestive enzymes that help break down food into smaller molecules."
34,What is the function of hormones in regulating digestion?,"Hormones such as gastrin, CCK, and somatostatin regulate digestion by stimulating or inhibiting the release of digestive enzymes from glands."
34,What is the difference between mechanical and chemical digestion?,"Mechanical digestion involves physical breakdown of food particles, while chemical digestion involves the use of enzymes to break down large molecules into smaller components."
34,What is the critical role of villi and microvilli in absorption?,Villi and microvilli increase the surface area for absorption by creating a dense network of tiny projections that allow for efficient nutrient uptake.
34,What is the difference between the gastric phase and the intestinal phase of digestion?,"The gastric phase involves mechanical breakdown of food in the stomach, while the intestinal phase involves chemical breakdown of smaller molecules in the small intestine."
34,What are essential nutrients?,"Essential nutrients are those that cannot be produced by the body and must be obtained from the diet, including carbohydrates, proteins, fats, vitamins, and minerals."
34,What is the function of somatostatin in regulating digestion?,"Somatostatin is a hormone that inhibits the release of digestive enzymes from glands, helping to regulate the timing and amount of digestive secretions."
34,What is the difference between fat-free and low-fat diets?,"A fat-free diet completely eliminates all sources of dietary fat, while a low-fat diet restricts the amount of fat consumed but allows for some intake."
35,What are the main functions of the sensory-somatic nervous system?,The sensory-somatic nervous system is responsible for processing sensory information and controlling voluntary movements.
35,"What is long-term potentiation, and how does it contribute to nicotine addiction?","Long-term potentiation is a form of synaptic plasticity that strengthens neural connections based on repeated stimulation. Nicotine addiction involves the strengthening of neural connections between the ventral tegmental area and the prefrontal cortex, leading to increased craving for nicotine."
35,What are the main differences between the sympathetic and parasympathetic branches of the autonomic nervous system?,"The sympathetic branch is involved in the body's 'fight or flight' response, while the parasympathetic branch is involved in the body's 'rest and digest' response."
35,"What is demyelination, and why is it problematic in multiple sclerosis?","Demyelination is the loss of myelin sheaths around axons in the central nervous system. In multiple sclerosis, this leads to disrupted nerve signaling and a variety of symptoms."
35,What are the main steps in chemical neurotransmission?,"Chemical neurotransmission involves the release of neurotransmitters from the terminal endings of neurons, diffusion across the synaptic cleft, binding to receptors, and either exocytosis or endocytosis of the receptor-neurotransmitter complex."
35,"What is myelin, and how does it aid axonal propagation?",Myelin is a fatty insulating layer surrounding the axons of some neurons. It facilitates faster propagation of action potentials by reducing electrical resistance and increasing the effective radius of the axon.
35,What is the primary function of the spinal cord?,"The primary function of the spinal cord is to transmit sensory information from the periphery to the brain, and to transmit motor information from the brain to the periphery."
35,What are possible treatments for patients with major depression?,"Possible treatments for patients with major depression include antidepressant medications, psychotherapy, and lifestyle changes such as exercise and dietary modifications."
36,What is the just-noticeable difference in sensory perception?,The just-noticeable difference is the smallest amount of a stimulus that a person can detect.
36,How does the structure of the ear allow a person to determine where a sound originates?,"The structure of the ear allows for sound waves to reach the cochlea through the middle ear, and then are conducted along the basilar membrane to the apex of the cochlea. This allows the sound waves to be localized to specific regions of the ear."
36,What is the difference in the localization of sensory receptors for general and special senses in humans?,"General senses, such as touch and pain, have a diffuse distribution of sensory receptors, while special senses, such as vision and hearing, have a more localized distribution."
36,How might being in a place with less gravity than Earth has (such as Earth’s moon) affect vestibular sensation?,"Being in a place with less gravity would affect vestibular sensation because the otoliths would experience less acceleration and deceleration, leading to differences in the signals sent to the brain."
36,How is the relationship between photoreceptors and bipolar cells different from other sensory receptors and adjacent cells?,"The relationship between photoreceptors and bipolar cells is different from other sensory receptors and adjacent cells in that photoreceptors have a unique type of synapse called a ribbon synapse, which allows for more precise transmission of signals."
36,What might be the effect on an animal of not being able to perceive taste?,"If an animal cannot perceive taste, it would likely have difficulty detecting and avoiding harmful substances in its environment."
36,Why don’t all people experience pain the same way?,"All people do not experience pain the same way because of individual differences in genetics, neural processing, and past experiences."
36,How would a rise in altitude likely affect the speed of a sound transmitted through air? Why?,A rise in altitude would likely slow the speed of a sound transmitted through air because of the decrease in air density at higher elevations.
36,How does the overall magnitude of a stimulus affect the just-noticeable difference in sensory perception?,The overall magnitude of a stimulus can affect the just-noticeable difference in sensory perception by changing the threshold for detection.
36,Why are dogs a better choice of detectors in studies using trained dogs to detect lung cancer in urine samples than humans?,Dogs are a better choice of detectors in studies using trained dogs to detect lung cancer in urine samples because they have a higher sensitivity and specificity for detecting the cancer biomarkers.
37,"What are the three classes of hormones based on their chemical structure, and what distinguishes them?","Hormones can be divided into three classes based on their chemical structure: amino acid-based hormones, steroid hormones, and thyroid hormones. The distinction is based on the type of molecule they are composed of and the mechanisms by which they are transported."
37,Name two important functions of hormone receptors.,"Hormone receptors play a crucial role in transmitting signals from hormones to target cells, and regulating the expression of specific genes."
37,How does blue light exposure disrupt human circadian rhythms?,"Blue light exposure can disrupt human circadian rhythms by suppressing the release of melatonin, a hormone that regulates sleep-wake cycles."
37,What is one factor that distinguishes the three classes of hormones based on their chemical structure?,The distinction is based on the type of molecule they are composed of and the mechanisms by which they are transported.
37,What is the primary function of the pineal gland?,The primary function of the pineal gland is to regulate circadian rhythms.
37,How does glucagon contribute to maintaining homeostasis throughout the body?,"Glucagon signals for the body to release stored glucose into the bloodstream, maintaining blood sugar levels and preventing hypoglycemia."
37,"What are the two types of secretory cells in the adrenal medulla, and what are their functions?","The two types of secretory cells in the adrenal medulla are chromaffin cells and catecholamine-secreting cells. Chromaffin cells produce epinephrine, while catecholamine-secreting cells produce norepinephrine."
37,What is the primary function of the thyroid gland?,"The primary function of the thyroid gland is to regulate metabolic rate by producing hormones that increase or decrease metabolism, depending on the body's needs."
37,How does cAMP-mediated signal amplification differ in steroid hormone signaling compared to other hormones?,"Steroid hormone signaling does not require cAMP-mediated signal amplification because steroid hormones bind to nuclear receptors, which then recruit coactivators that activate target genes."
37,What is one way in which recent stress can make people more susceptible to contracting the common cold?,"Recent stress can weaken the immune system, making people more susceptible to contracting the common cold."
38,What is the difference between a long bone and a flat bone?,"Long bones have a shaft and ends, while flat bones are irregularly shaped and lack ends."
38,What is the function of synovial fluid in joints?,"Synovial fluid lubricates the joint, regulates water balance, protects articular cartilage, and aids in shock absorption."
38,What are sesamoid bones?,Sesamoid bones are small bones embedded within tendons or joint capsules that provide mechanical advantage to muscles.
38,How do skeletal muscles produce movement?,Muscle fibers contract to shorten and thus produce movement by pulling on their attachment points.
38,What is the difference between circumduction and abduction?,"Circumduction refers to movements that occur around the midline of the body, while abduction refers to movements away from the midline."
38,What is the purpose of symphyses in the pelvic girdle?,Symphyses provide a wide range of motion at the cost of reduced stability and protection of internal organs.
38,How do pectoral and pelvic girdles differ in function?,"Pectoral girdles serve to protect vital organs, while pelvic girdles bear weight and provide attachment points for muscles that move the lower extremities."
38,What is the difference between a hinge joint and a ball-and-socket joint?,"Hinge joints allow movement in one plane only, while ball-and-socket joints allow movement in multiple planes."
38,How does the scapula move?,"The scapula moves in three planes of motion: upward and downward, outward and inward, and rotation."
39,What is the main function of the diaphragm?,"The diaphragm is a dome-shaped muscle that separates the chest and abdominal cavities. Its primary function is to expand and contract, helping the lungs to inhale and exhale air."
39,What is the role of carbonic anhydrase in the transport of oxygen?,"Carbonic anhydrase is an enzyme that helps convert carbon dioxide into bicarbonate ions, which are then excreted in the lungs."
39,What happens to oxygen in the body during exercise?,"During exercise, the body's demand for oxygen increases. The heart rate and breathing rate also increase to meet this demand."
39,How does the structure of alveoli maximize gas exchange?,"Alveoli have a thin, flexible wall that allows for efficient exchange of gases between the air in the alveolus and the blood flowing through it."
39,What is the reason for having residual volume in the lung?,"Residual volume is present in the lungs to ensure that there is always some air left in the lungs, even after exhalation."
39,How can a decrease in the percent of oxygen in the air affect the movement of oxygen in the body?,"A decrease in the percentage of oxygen in the air can result in less oxygen being available for uptake by the body, potentially leading to hypoxia."
39,What would happen if no carbonic anhydrase were present in red blood cells?,"Without carbonic anhydrase, carbon dioxide would not be converted into bicarbonate ions, leading to acidosis."
39,How does the administration of 100% oxygen save a patient from carbon monoxide poisoning?,"Administration of 100% oxygen can displace carbon monoxide in the bloodstream, potentially saving the patient."
40,What is the main function of the heart?,The primary function of the heart is to pump blood throughout the body.
40,What is the difference between arteries and veins?,"Arteries have thinner smooth muscle layers and valves, while veins have thicker smooth muscle layers and no valves."
40,What are varicose veins?,"Varicose veins are enlarged veins that result from the failure of valves to close properly, allowing blood to flow backward."
40,What is platelet plug formation?,"Platelet plug formation occurs at the site of blood vessel damage, when platelets are attracted to the site and form a plug that helps stop bleeding."
40,What is the percentage of plasma in human blood?,The percentage of plasma in human blood is approximately 90%.
40,How do arteries and veins differ in their ability to stretch?,"Arteries have a much lower capacity for stretching than veins, which allows them to maintain a relatively constant diameter even under changes in blood pressure."
40,What is the difference between the cardiac cycle and the heartbeat?,"The cardiac cycle refers to the entire sequence of events that occur within the heart, while the heartbeat refers specifically to the contraction and relaxation of the heart muscle."
40,What is systemic circulation?,"Systemic circulation refers to the movement of blood from the left side of the heart through the aorta and its branches, to the body's tissues and organs, and back to the right side of the heart through the pulmonary veins."
40,What is the purpose of the internal pacemaker in the heart?,"The internal pacemaker in the heart, located in the sinoatrial node, sends electrical impulses that regulate the heartbeat and coordinate the contraction and relaxation of the heart muscle."
40,What is the difference between varicose veins and deep vein thrombosis?,"Varicose veins are enlarged veins that result from the failure of valves to close properly, while deep vein thrombosis refers to a blood clot that forms within a deep vein, typically in the legs."
41,What is the primary function of the kidneys?,The primary function of the kidneys is to filter waste products and excess fluids from the blood and regulate electrolyte levels.
41,What is osmolarity?,"Osmolarity refers to the concentration of solutes in a solution, measured in osmoles (OSM). The normal osmolarity range for body fluids is approximately 280-300 mOsm."
41,What is the difference between active and passive transport?,"Active transport requires energy to move substances against their concentration gradient, while passive transport occurs spontaneously without energy input."
41,What is the role of the loop of Henle in urine concentration?,The loop of Henle allows for water reabsorption and concentrates urine by increasing the osmolarity of the filtrate.
41,How does the renin-angiotensin-aldosterone mechanism function?,"The renin-angiotensin-aldosterone mechanism regulates blood pressure by stimulating sodium reabsorption and water retention in the kidneys, controlled by the kidneys."
41,What is the purpose of the adrenal gland?,"The adrenal gland produces hormones such as aldosterone and cortisol to regulate electrolyte balance, blood pressure, and response to stress."
41,What is uremia?,Uremia refers to the accumulation of waste products in the blood due to kidney failure or damage.
41,How does the body regulate pH levels?,"The body regulates pH levels through a variety of mechanisms, including breathing, perspiration, and hormone secretion."
41,What is the difference between nitrogenous waste and non-nitrogenous waste?,"Nitrogenous waste refers specifically to waste products containing nitrogen, while non-nitrogenous waste refers to all other waste products."
41,What is the function of the juxtaglomerular apparatus?,"The juxtaglomerular apparatus produces renin, which stimulates the production of erythropoietin and helps regulate red blood cell production."
42,What is the structure of an antibody?,The structure of an antibody is similar to the extracellular component of which receptor?
42,What is the first antibody class to appear in the serum in response to a newly encountered pathogen?,The first antibody class to appear in the serum in response to a newly encountered pathogen is IgM.
42,What is immune tolerance?,"Immune tolerance refers to the ability of the immune system to distinguish between self and non-self, and not to attack the body's own cells and tissues."
42,What is a T cell receptor (TCR)?,A T cell receptor (TCR) is a protein complex on the surface of a T cell that recognizes and binds to specific antigens presented by an Antigen-presenting cell (APC).
42,What is the difference between an epitope and an antigen?,"An epitope is a region on an antigen that is recognized by B cells, while an antigen is any molecule that can be recognized by the immune system."
42,What is passive immunity?,"Passive immunity refers to the transfer of pre-existing antibodies or T cells from one individual to another, providing temporary protection against infection."
42,What is active immunity?,"Active immunity refers to the immune response that occurs when an individual is infected with a pathogen and mounts a response to it, resulting in the production of antibodies or T cells that can recognize and attack the pathogen."
42,What is the difference between TH1 and TH2 responses?,"The TH1 response involves the activation of CD4+ T cells that secrete cytokines such as interferon-gamma (IFN-γ) and tumor necrosis factor (TNF), while the TH2 response involves the activation of CD4+ T cells that secrete cytokines such as interleukin-4 (IL-4) and interleukin-10 (IL-10)."
42,What is immune memory?,Immune memory refers to the ability of the immune system to remember specific pathogens and mount a more rapid and effective response upon subsequent exposure.
43,What is the purpose of meiosis?,Meiosis is the process by which sex cells divide to produce gametes (sperm or egg cells) that are genetically unique and halved the number of chromosomes in the parent cell.
43,What is the difference between prokaryotic and eukaryotic cells?,"Prokaryotic cells lack a true nucleus and other organelles, while eukaryotic cells have a true nucleus and other membrane-bound organelles."
43,What is the role of oxytocin during labor?,Oxytocin stimulates uterine contractions during labor to help expel the baby.
43,What layer gives rise to the epidermis?,The ectoderm is the layer that gives rise to the epidermis.
43,Describe the events in the ovarian cycle leading up to ovulation.,"The ovarian cycle involves the growth of a follicle containing an egg cell, followed by ovulation and the preparation of the uterus for pregnancy."
43,What determines whether a fetus will develop as male or female?,The sex of the fetus is determined by the presence or absence of Y chromosomes in the fertilized egg cell.
43,Compare spermatogenesis and oogenesis with respect to the timing of the processes and the number and type of cells finally produced.,"Spermatogenesis occurs earlier in life and produces many more cells than oogenesis, which occurs later and produces fewer cells."
43,What is the function of the corpus luteum during pregnancy?,The corpus luteum is a temporary endocrine organ that secretes progesterone to maintain pregnancy and prepare the uterus for the fertilized egg.
43,What are the three germ layers and their functions?,"The three germ layers are ectoderm, endoderm, and mesoderm. The ectoderm gives rise to the epidermis and other external structures, the endoderm gives rise to the lining of internal organs and cavities, and the mesoderm gives rise to muscles, bones, and connective tissue."
44,What is the difference between a weather event and a natural force?,"A weather event is a short-term, localized phenomenon caused by the movement of air masses, while a natural force is a longer-term, more general process that shapes the environment."
44,What is an estuary?,"An estuary is a partially enclosed coastal body of water, where freshwater from rivers and streams mixes with saltwater from the ocean."
44,What are the three types of disturbance in an ecosystem?,"The three types of disturbance in an ecosystem are physical, chemical, and biological."
44,What is a bog?,"A bog is a type of wetland ecosystem characterized by acidic, oxygen-poor conditions that favor the growth of sedge and heath plants."
44,What are the two types of nutrient cycling in an ecosystem?,The two types of nutrient cycling in an ecosystem are carbon cycling and nutrient cycling.
44,What is a keystone species?,"A keystone species is a species that has a disproportionate impact on its environment relative to its abundance, often playing a unique and crucial role in the ecosystem."
44,What are the four levels of organization in an ecosystem?,"The four levels of organization in an ecosystem are cells, individuals, populations, and communities."
44,What is a food web?,"A food web is the network of interactions between different species in an ecosystem, showing which species feed on others and which species are fed Upon."
45,What is the difference between a polygynous mating system and a polyandrous mating system?,"A polygynous mating system is one in which one male has multiple females, while a polyandrous mating system is one in which one female has multiple males."
45,What is the rate of population growth that would be expected at various parts of the S-shaped curve of logistic growth?,"The rate of population growth would first increase, then level off, and finally decrease as the population approaches its carrying capacity."
45,What is kin selection?,"Kin selection is the process by which individuals choose mates based on their relatedness to them, in order to pass on the most copies of their genes to the next generation."
45,What are density-dependent and density-independent factors?,"Density-dependent factors are those that affect population growth rate directly, such as competition for resources. Density-independent factors are those that affect population growth rate indirectly, such as predation or disease."
45,What is the competitive exclusion principle?,The competitive exclusion principle states that two species cannot coexist in the same niche if one species has a selective advantage over the other.
45,What is the difference between a monogamous mating system and a polyandrous mating system?,"In a monogamous mating system, one male has one female, while in a polyandrous mating system, one female has multiple males."
45,What is the rate of population growth that would be expected at various parts of the S-shaped curve of logistic growth?,"The rate of population growth would first increase, then level off, and finally decrease as the population approaches its carrying capacity."
45,What is long-term parental care?,"Long-term parental care refers to the investment of time, energy, or resources by a parent in their offspring after they have hatched or birthed them."
45,What are the advantages of density-dependent and density-independent factors?,"Density-dependent factors allow for more efficient use of resources, while density-independent factors allow for greater stability in population size."
